epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.86,1.81848,3.35806,1.81538,0.0067,1,0.36021,0.20932,0.89443,3.1092,1.09455,0.00030006,0.00030006,0.00030006
2,320.371,1.13912,2.21074,1.23849,0.8485,0.27857,0.7803,0.43313,1.1612,2.77355,1.47893,0.000601524,0.000601524,0.000601524
3,456.658,1.1034,1.51946,1.17109,0.85702,0.3981,0.88165,0.54791,1.18654,2.48816,1.32264,0.000887311,0.000887311,0.000887311
4,694.016,1.1368,1.40966,1.18109,0.81752,0.65892,0.85278,0.4676,1.15184,2.49647,1.37555,0.00115742,0.00115742,0.00115742
5,920.482,1.07699,1.32066,1.14684,0.6945,0.63487,0.71345,0.44381,1.25568,2.36067,1.57191,0.00141185,0.00141185,0.00141185
6,1163.26,1.10289,1.26011,1.15102,0.63513,0.58571,0.6817,0.4127,1.15253,2.26363,1.26829,0.00146071,0.00146071,0.00146071
7,1398.48,1.07283,1.16557,1.12943,0.91697,0.87857,0.93902,0.65754,1.05596,1.47317,1.28145,0.00141945,0.00141945,0.00141945
8,1629.27,1.01773,1.09675,1.11324,0.67102,0.71516,0.82773,0.58651,1.04247,1.61898,1.17542,0.00137819,0.00137819,0.00137819
9,1859.46,1.03095,1.02545,1.09997,0.6549,0.92857,0.90497,0.61374,0.981,1.46051,1.12651,0.00133693,0.00133693,0.00133693
10,2069.57,0.99276,1.00282,1.0868,0.95205,0.9197,0.9554,0.7094,0.93337,1.07177,1.0255,0.00129568,0.00129568,0.00129568
11,2203.86,1.02804,0.96334,1.09771,0.91713,0.95,0.97842,0.72723,0.90891,0.98467,1.02676,0.00125442,0.00125442,0.00125442
12,2336.96,0.98162,0.94186,1.071,0.96402,0.95563,0.97775,0.75856,0.82148,0.91345,0.97463,0.00121316,0.00121316,0.00121316
13,2470.32,0.97616,0.87082,1.05184,0.94962,0.92053,0.98397,0.69199,0.99861,0.88559,1.07226,0.0011719,0.0011719,0.0011719
14,2651.97,0.9557,0.84267,1.04785,0.89153,0.94537,0.96228,0.67968,0.97519,1.15414,1.09298,0.00113064,0.00113064,0.00113064
15,2890.4,0.88865,0.82371,1.03492,0.9721,0.96429,0.98469,0.70607,0.95358,0.79541,1.03824,0.00108938,0.00108938,0.00108938
16,3043.86,0.95584,0.82656,1.05949,0.98807,0.97221,0.98828,0.76486,0.83007,0.74698,0.98907,0.00104813,0.00104813,0.00104813
17,3214.23,0.92745,0.7749,1.0331,0.9656,0.97074,0.98446,0.75366,0.81165,0.73491,0.95953,0.00100687,0.00100687,0.00100687
18,3382.64,0.88881,0.74307,1.03176,0.97004,0.98258,0.98947,0.73416,0.87879,0.7592,1.02164,0.00096561,0.00096561,0.00096561
19,3540,0.86683,0.72891,1.02082,0.98583,0.96851,0.99373,0.78529,0.77357,0.65535,0.95438,0.000924352,0.000924352,0.000924352
20,3626.13,0.88494,0.72551,1.0063,0.91664,0.86429,0.96383,0.74851,0.79067,0.72705,0.9643,0.000883093,0.000883093,0.000883093
21,3713.39,0.90249,0.73581,1.0426,0.99368,0.9749,0.99041,0.72319,0.974,0.66681,1.02906,0.000841835,0.000841835,0.000841835
22,3802.5,0.8892,0.71719,1.01286,0.99141,0.98571,0.99444,0.7661,0.80537,0.59097,0.95399,0.000800577,0.000800577,0.000800577
23,3892.72,0.83189,0.65842,1.00272,0.97478,0.97961,0.99415,0.77776,0.79355,0.59618,0.98775,0.000759318,0.000759318,0.000759318
24,3983.54,0.83237,0.66263,0.99685,0.99843,0.97857,0.98985,0.72186,0.99151,0.6054,1.05333,0.00071806,0.00071806,0.00071806
25,4075.12,0.82669,0.61383,1.00027,0.98473,0.96096,0.98794,0.7663,0.82068,0.59606,0.99048,0.000676802,0.000676802,0.000676802
26,4167.04,0.80321,0.59817,0.97896,0.99052,0.99109,0.99472,0.79925,0.77149,0.51239,0.93449,0.000635544,0.000635544,0.000635544
27,4259.48,0.81419,0.61706,0.98668,0.98234,0.98214,0.99458,0.78233,0.83475,0.56157,0.97822,0.000594286,0.000594286,0.000594286
28,4352.92,0.79745,0.61235,0.98205,0.98767,0.97777,0.99292,0.79375,0.78559,0.56656,0.93376,0.000553027,0.000553027,0.000553027
29,4446.42,0.81918,0.59398,1.00045,0.99041,1,0.995,0.80558,0.75846,0.51529,0.94522,0.000511769,0.000511769,0.000511769
30,4539.2,0.7959,0.59722,0.97368,0.99962,0.98497,0.99479,0.792,0.78035,0.52403,0.94231,0.000470511,0.000470511,0.000470511
31,4632.23,0.7068,0.556,0.93541,0.99791,0.99099,0.99467,0.73579,0.89258,0.54794,0.97317,0.000429253,0.000429253,0.000429253
32,4733.48,0.68014,0.51273,0.9213,0.99263,0.99075,0.99479,0.81212,0.73066,0.48483,0.91526,0.000387994,0.000387994,0.000387994
33,4826.1,0.6599,0.51394,0.92519,0.90706,0.9,0.96649,0.77305,0.79643,0.56933,0.94788,0.000346736,0.000346736,0.000346736
34,4921.17,0.67699,0.48775,0.91725,0.88339,0.97104,0.98599,0.79551,0.73169,0.52412,0.91686,0.000305478,0.000305478,0.000305478
35,5086.49,0.68584,0.47892,0.92026,0.97059,0.94797,0.99153,0.78615,0.75252,0.52717,0.92618,0.00026422,0.00026422,0.00026422
36,5306.54,0.63874,0.47304,0.92451,0.94821,0.97857,0.9941,0.78693,0.76423,0.50011,0.92897,0.000222961,0.000222961,0.000222961
37,5486.36,0.62833,0.45569,0.90419,0.94098,0.98571,0.99407,0.80942,0.7189,0.48269,0.92002,0.000181703,0.000181703,0.000181703
38,5650.96,0.61673,0.45928,0.89998,0.97424,0.98064,0.99493,0.80432,0.72514,0.46572,0.92146,0.000140445,0.000140445,0.000140445
39,5767.34,0.59124,0.42852,0.90016,0.94907,0.98874,0.995,0.79099,0.73426,0.47861,0.91876,9.91865e-05,9.91865e-05,9.91865e-05
40,5881.36,0.58248,0.43084,0.8892,0.95123,0.98571,0.99479,0.79177,0.73614,0.46378,0.91798,5.79283e-05,5.79283e-05,5.79283e-05
