epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.7969,1.94194,3.23036,1.87987,0.40855,0.42981,0.4376,0.24157,1.18641,2.96076,1.33332,0.00030006,0.00030006,0.00030006
2,170.031,1.2436,1.92983,1.27378,0.82565,0.59918,0.8436,0.41077,1.57381,2.27792,1.42812,0.000604578,0.000604578,0.000604578
3,248.063,1.13537,1.55044,1.18263,0.77909,0.74286,0.84334,0.52234,1.22761,1.95177,1.41342,0.000896553,0.000896553,0.000896553
4,334.211,1.17494,1.39246,1.1782,0.66934,0.85731,0.86042,0.43847,1.51181,2.18886,1.46146,0.00117599,0.00117599,0.00117599
5,490.374,1.09285,1.3007,1.15334,0.74297,0.8415,0.87673,0.55852,1.18401,1.72979,1.31371,0.00144288,0.00144288,0.00144288
6,636.284,1.07424,1.22293,1.13202,0.83884,0.90603,0.94736,0.62618,1.12907,1.81214,1.29631,0.00150197,0.00150197,0.00150197
7,728.06,1.05633,1.14124,1.1121,0.90472,0.88812,0.94049,0.65533,1.01018,1.28936,1.14504,0.00146896,0.00146896,0.00146896
8,813.899,1.10993,1.10825,1.13509,0.85486,0.92143,0.95397,0.6808,1.02869,1.23887,1.16336,0.00143595,0.00143595,0.00143595
9,896.024,1.11057,1.09114,1.12457,0.83653,0.857,0.97256,0.61837,1.21179,1.18389,1.1907,0.00140295,0.00140295,0.00140295
10,988.579,1.07476,1.01123,1.12697,0.94297,0.97425,0.97149,0.67631,0.98951,0.98662,1.11269,0.00136994,0.00136994,0.00136994
11,1073.33,1.0222,0.96942,1.10526,0.95785,0.96956,0.98453,0.70715,0.95702,0.91461,1.13047,0.00133693,0.00133693,0.00133693
12,1189.66,1.00852,0.9018,1.10537,0.78164,0.72665,0.7991,0.4607,1.46472,1.39192,1.57398,0.00130393,0.00130393,0.00130393
13,1316.76,1.0023,0.87905,1.09211,0.97819,0.96429,0.98774,0.72168,0.94003,0.80171,1.07041,0.00127092,0.00127092,0.00127092
14,1431.95,0.95081,0.83639,1.05586,0.92924,0.96284,0.98938,0.72584,0.91779,0.79116,1.07585,0.00123791,0.00123791,0.00123791
15,1561.86,0.9398,0.79959,1.06116,0.9348,0.9505,0.98837,0.72902,0.94961,0.84894,1.12826,0.00120491,0.00120491,0.00120491
16,1666.63,0.95755,0.79576,1.06144,0.85967,0.94286,0.97602,0.70582,0.95632,0.88894,1.10462,0.0011719,0.0011719,0.0011719
17,1813.96,0.94216,0.80984,1.07262,0.97325,0.98413,0.99248,0.75133,0.86259,0.76396,1.03198,0.00113889,0.00113889,0.00113889
18,1954.67,0.91358,0.7803,1.05281,0.97343,0.98571,0.98957,0.67718,1.1002,0.76388,1.12452,0.00110589,0.00110589,0.00110589
19,2104.56,0.95234,0.76855,1.05579,0.92018,0.98523,0.986,0.7007,1.04138,0.79624,1.0903,0.00107288,0.00107288,0.00107288
20,2199.01,0.96199,0.77879,1.06292,0.97552,0.98107,0.98979,0.77065,0.81168,0.69975,1.00634,0.00103987,0.00103987,0.00103987
21,2281.99,0.92037,0.70882,1.0219,0.97686,0.99112,0.99152,0.7463,0.86685,0.61409,1.01946,0.00100687,0.00100687,0.00100687
22,2402.76,0.90111,0.6943,1.02447,0.95888,0.95759,0.98467,0.72541,0.92675,0.67121,1.05325,0.000973861,0.000973861,0.000973861
23,2521.79,0.88857,0.65824,1.02549,0.99348,0.97855,0.99252,0.78034,0.82987,0.60661,0.9986,0.000940855,0.000940855,0.000940855
24,2626.74,0.86125,0.64038,1.00628,1,0.98918,0.9933,0.73576,0.92067,0.60596,1.01795,0.000907848,0.000907848,0.000907848
